pattern_id,yarn_id,yardage_min,yardage_max,grams_min,grams_max
990044,3d27a4f9f0cf6df0313bc26c9ba807789044659a,130,610,,
990044,b0e37e76a3b113804ae312c6765a59f748c0c7be,130,610,,
990044,76c526a73d9406be8a0632a7e69a9f321d5f3165,130,610,,
990044,d39b51614337b18e673ed37ad16f138b32249390,130,610,,
857493,f02df4c8ebc5f2ced6ad7827eb8b3f91f073d1e3,257,354,,
857493,3e3070a8896abfccfe1aabc8530d4fffaef182d5,257,354,,
857493,66907630224a934838f396ba02e4b555ab65763a,257,354,,
857493,d82b0f56a832e03b932cda91f39fda68568ec3ae,257,354,,
857493,bba486acc1129988ab97b2622ea04e39759a791e,257,354,,
857493,95968dfa2a4baafc812fdf412f1885be349166f7,257,354,,
857493,00fa5284d75f1955aa411b819093438553d44dd7,257,354,,
7392714,d297e0dd2d733a4e58e73df037ab40e26b83b4c0,437,722,,
7392714,2de66f29dfa5be5e70985d2ec1bfc9ab372365bc,437,722,,
7392714,561076eefe97122fc0cd23d876ea4742eba63ac6,437,722,,
7392714,b3ee62ed1295b3dbac81696cb556434d3a30e8a6,437,722,,
7392714,a41158f861adf0d1c24dc1cda31d93af3181a8c6,437,722,,
899479,6903f333b22848bcc6a442123442833fc15f1187,110,305,,
1300588,5fff4c4bbeea5b3990d83d79e8eb40f5006c236f,199,299,,
1300588,d7290338252f72c865dce4d86c161bcd541c0443,199,299,,
1300588,65e26f35536e184795aa4ed7d08b247951a36980,199,299,,
1300588,3e3070a8896abfccfe1aabc8530d4fffaef182d5,199,299,,
1300588,e39d1849737967aaea0d3b3ac14f42c1712ef54c,199,299,,
1300588,b56b8f7bbed7fb468f9e2fe4720113c76cabd05d,199,299,,
1300588,bba486acc1129988ab97b2622ea04e39759a791e,199,299,,
1300588,95968dfa2a4baafc812fdf412f1885be349166f7,199,299,,
1300588,00fa5284d75f1955aa411b819093438553d44dd7,199,299,,
1353734,25ac7669488f87c05ab0b2b7cbe1a69597dd6de4,190,230,,
1353734,cdfd797fd8715529c9849ff2bd37930aa56da81e,190,230,,
7340640,10346ebed4154eb1a9487edac62291761988f06f,100,350,,
7340640,3644fbab24dc3cb0c513b63e1b53729303b1b5fb,100,350,,
7430947,3979dac1ddd9c4b295382be9462fa177c1197f2b,180,322,,
7430947,6f0b81e8c9ec4f6ec1d6050d29da8d44891f7909,180,322,,
799982,b51b43cd8631f39828e79cf98365f14e250de1c9,191,257,,
799982,bba486acc1129988ab97b2622ea04e39759a791e,191,257,,
1285536,26cb8f9af4c454509a0018ed06db4bf0e9bdf9c6,140,150,,
7440429,dae17ba5b87531e5b071e85e53fd895e0cbfcbfa,300,300,,
7440440,00fa5284d75f1955aa411b819093438553d44dd7,219,219,,
625513,444df3c636904c12a60e4437e099ce328468b78d,200,,,
1296459,3f53c9587a5732151b06d1f13f9f07b2d4608f9f,175,219,,
7344807,afb3a9de87d4c38b9293adb9206d71f74077e5de,70,90,,
7384067,b79831d7ce40dfe70e0f6789269fe3e8e51aa2f4,124,346,,
1174425,9768bf978e79b0a18cdfc0fb0be938f670bb6671,288,352,,
124400,124163711cbc53b1c592e7d1983f491e35d6905e,155,415,,
124400,2465bd860ca015e88ea0d5c18ecc6f8c1e7b3fbc,155,415,,
124400,1a4208cd47a8f451c79162ee5ced2d53ff2af156,155,415,,
124400,2f3e918d44672d7b25188b02dbdf8f7a43ee3aa6,155,415,,
124400,2c78d15459fd1926a0f025ad6d632b1a50532938,155,415,,
124400,41b805d6119117b5e4b8cafa08f727021ef44256,155,415,,
167528,0e0c113712be9fa1e6368f64c2a38d5142978c40,90,135,,
1176966,b46ea92155be9ab32f94c98c16a6be87dd9a3c52,120,150,,
1256976,7d0e6de754b7583d30e04df9657f8a4a480c6abe,125,130,,
1195462,33f02f3ae255c8c32e68a97a8c0d8fcd1898a92f,114,,,
1213476,7ea3d9eca6951801503910d7c41ef7f124682770,65,285,,
1213476,12e7e401c569466fd67285992d90bd7e3ed72e62,65,285,,
1213476,742f1d5b56220aa103dcf9ecde08f4efccc6407b,65,285,,
1213476,c16e2f676f88cbf2472cd6b6263be7300fb17215,65,285,,
1213476,db412821a3f505ad66dd999cf5f4a4199111c290,65,285,,
7397422,f1aedd8b3edaf59e09520eee69807ba7472e6009,100,200,,
7397422,d001074eb59e31f9c7b1f1699f8c73e9118c56cf,100,200,,
1031159,023feaa831568c24015bb3d4ce30d11ae6ae83c6,106,107,,
1325992,b10e3303650f2d43b44ab99668cddfd163783a32,177,278,,
954741,9e118fadbdeeb7bcba38a2c5212061ed2c95cc96,150,200,,
954741,ff050d0997762a9ff00d73e38a077d17d6f36edf,150,200,,
1262705,4115fca6fcdec6ab1802d13ec665022690da0c84,170,,,
1213560,01f7e98cd5d1f1a717f525a199b08967ea30a744,125,130,,
7354456,01f7e98cd5d1f1a717f525a199b08967ea30a744,93,124,,
7410839,44d4746fd84d0ae62bb805ef9def082044c2dc03,219,383,,
1281269,fb4446f1141ea797f28f1d122bf7395250f11173,328,,,
7414619,3a794b79d48bdfb89ebdb294b97c3c7c0e4a521d,175,175,,
7414619,a1e9566f60c7b915d3ac35302b5cccb72d6a3e60,175,175,,
7287755,01f7e98cd5d1f1a717f525a199b08967ea30a744,118,120,,
470230,dda22af67f7f6557ea0784b9b87aa879641f9326,95,100,,
