pattern_id,craft_type_id
56,1
108,1
140,1
149,1
167,1
185,1
191,1
235,1
266,1
278,1
296,1
313,1
332,1
408,1
423,1
434,1
453,1
456,1
457,1
500,1
534,1
573,1
594,1
603,1
608,1
620,1
659,1
693,1
724,2
762,1
791,1
856,1
862,1
863,1
874,1
915,1
932,1
951,1
1011,1
1044,1
1066,1
1104,1
1174,1
1192,1
1309,2
1317,1
1337,1
1461,1
1494,1
1584,1
1609,1
1658,1
1681,1
1734,1
1742,1
1790,1
1792,1
1806,1
1857,1
1888,1
1904,1
1959,1
2013,1
2032,1
2075,1
2097,1
2114,1
2118,2
2185,1
2197,1
2271,1
2403,1
2428,1
2429,1
2489,1
2520,1
2547,1
2569,2
2574,1
2605,2
2665,1
2739,1
2750,1
2796,1
2839,1
2848,1
2905,1
2953,1
3083,2
3152,1
3179,1
3197,1
3236,1
3273,1
3310,1
3397,1
3420,1
3442,1
3447,1
3462,1
3465,1
3526,1
3564,1
3576,1
3639,1
3655,2
3669,1
3685,1
3761,1
3769,1
3775,1
3809,1
3813,1
3886,1
3891,1
3895,1
3913,1
3926,1
3945,1
3948,1
3974,1
4064,1
4066,1
4073,1
4120,1
4138,1
4211,1
4244,1
4284,1
4287,1
4293,1
4431,1
4456,1
4534,1
4538,1
4547,1
4602,2
4610,1
4671,1
4688,1
4692,1
4701,1
4723,1
4726,1
4764,1
4802,1
4818,1
4819,1
4845,1
4859,1
4930,1
4947,1
4949,1
4962,1
5079,2
5106,1
5148,1
5190,1
5200,2
5207,1
5208,1
5290,1
5317,1
5346,1
5359,1
5432,1
5498,1
5501,1
5538,1
5565,1
5601,1
5654,1
5665,1
5682,1
5730,1
5752,1
5772,1
5828,1
5829,1
5911,1
5918,2
5934,1
5943,1
5970,2
6075,2
6088,1
6095,2
6098,2
6108,1
6135,1
6165,1
6170,2
6175,2
6180,2
6222,2
6232,1
6242,1
6243,1
6253,1
6262,2
6286,1
6316,2
6372,1
6387,2
6388,1
6400,2
6402,2
6637,1
6686,2
6720,1
6727,1
6809,1
6831,1
6870,1
6886,1
6903,1
6925,2
6928,1
6929,2
6957,1
6964,1
6970,1
6981,1
7001,2
7012,2
7053,1
7061,1
7068,2
7079,1
7124,1
7134,2
7146,1
7152,1
7188,1
7204,1
7209,2
7263,1
7271,1
7329,1
7336,1
7339,1
7355,1
7357,1
7419,1
7447,1
7470,2
7507,1
7525,2
7590,1
7639,1
7650,1
7684,1
7715,2
7717,2
7736,1
7745,2
7750,1
7897,1
7949,2
7967,1
7974,1
8042,1
8051,2
8052,1
8053,2
8061,2
8065,1
8069,1
8077,2
8110,1
8164,1
8166,1
8185,1
8339,2
8382,1
8429,1
8473,1
8476,1
8483,1
8500,2
8532,2
8539,1
8541,1
8598,1
8606,1
8614,2
8683,1
8689,2
8778,2
8862,1
8863,1
8903,2
8908,2
8911,1
8952,1
8960,1
8963,1
8964,1
8973,1
8993,1
9010,1
9042,1
9044,1
9112,1
9133,1
9134,1
9209,1
9210,1
9221,2
9255,1
9280,1
9293,2
9296,1
9399,1
9489,1
9514,1
9605,2
9606,1
9638,1
9772,1
9822,2
9899,2
9902,2
9950,2
10044,1
10085,1
10117,1
10187,1
10204,1
10206,1
10271,1
10283,1
10295,1
10302,1
10304,2
10307,1
10319,2
10375,1
10475,1
10503,1
10526,2
10672,1
10744,1
10746,1
10766,1
10786,1
10821,1
10826,1
10906,1
10920,1
10925,1
10975,1
10989,1
11056,2
11065,2
11067,1
11114,1
11169,1
11184,2
11188,1
11214,1
11248,2
11254,1
11257,1
11265,1
11374,2
11375,2
11386,1
11450,1
11455,1
11456,2
11466,1
11500,1
11577,1
11614,1
11791,2
11832,2
11885,1
11981,1
12063,1
12111,2
12175,1
12185,2
12247,1
12295,1
12347,1
12410,2
12414,2
12436,1
12503,2
12510,1
12529,1
12623,1
12635,1
12741,2
12773,1
12837,2
12841,1
12869,1
12881,2
13021,1
13277,1
13302,2
13324,1
13351,1
13368,1
13413,2
13498,1
13502,1
13506,1
13526,1
13655,1
13740,1
13777,1
13819,1
13824,1
13880,2
13898,2
13930,2
13942,1
13990,1
14019,1
14046,2
14053,2
14054,2
14071,2
14101,2
14154,1
14228,1
14279,1
14386,1
14403,1
14428,1
14443,1
14445,2
14552,2
14579,1
14580,1
14598,1
14654,1
14681,1
14698,1
14762,2
14807,1
14820,2
14910,1
14943,1
14970,1
15027,2
15162,2
15200,1
15201,1
15293,2
15363,2
15366,2
15377,1
15413,1
15421,1
15424,1
15463,2
15479,1
15650,1
15653,1
15701,2
15725,1
15768,2
15804,2
15827,2
15949,1
16084,1
16178,1
16195,1
16210,2
16268,2
16386,1
16472,2
16480,2
16541,1
16584,1
16591,1
16592,1
16593,1
16647,1
16677,2
16680,2
16707,1
16747,1
16752,2
16772,1
16779,1
16870,1
16906,1
16909,2
16950,1
16952,1
17012,1
17061,1
17067,1
17081,1
17089,2
17119,1
17195,1
17197,2
17227,1
17287,1
17288,1
17347,1
17395,1
17416,1
17468,1
17508,1
17574,2
17850,2
17881,1
17943,1
17979,1
18003,2
18010,1
18075,2
18078,1
18119,2
18124,2
18166,1
18167,1
18214,2
18217,2
18264,1
18339,1
18359,1
18385,1
18401,1
18460,1
18496,1
18531,1
18581,1
18590,1
18622,1
18639,1
18657,1
18664,1
18771,1
18897,1
18928,1
18971,1
19027,1
19093,1
19104,1
19164,1
19250,1
19323,1
19355,1
19357,1
19432,1
19587,1
19637,1
19640,2
19687,1
19698,2
19700,1
19865,1
19993,1
20018,2
20019,1
20105,1
20140,1
20159,2
20180,1
20209,1
20217,1
20235,1
20280,1
20291,2
20304,1
20438,2
20486,1
20526,1
20528,2
20545,1
20580,2
20582,2
20584,2
20594,2
20602,2
20619,2
20677,2
20684,2
20707,2
20741,1
20778,2
20859,2
20877,1
20894,1
20917,2
20924,1
20934,1
20981,1
20999,1
21019,2
21109,2
21128,1
21134,1
21197,1
21198,1
21203,2
21228,1
21247,1
21253,2
21288,2
21311,1
21342,1
21344,1
21352,1
21353,1
21355,1
21357,1
21374,1
21426,1
21473,1
21565,1
21570,1
21594,1
21636,1
21696,2
21776,1
21865,1
21924,1
21935,1
21970,1
22022,2
22090,2
22207,2
22210,1
22223,1
22348,1
22354,2
22386,1
22426,1
22433,1
22490,1
22504,1
22509,2
22537,2
22552,1
22594,1
22644,1
22696,1
22753,1
22757,1
22805,2
23021,1
23065,1
23088,1
23133,1
23311,1
23382,1
23408,1
23500,2
23501,1
23518,1
23552,2
23568,1
23598,2
23673,1
23675,1
23724,2
23733,2
23900,1
23941,2
24009,1
24063,2
24094,1
24123,1
24137,2
24200,1
24241,2
24364,1
24474,1
24487,1
24493,1
24534,2
24635,1
24695,1
24754,2
24866,2
24874,2
25053,1
25068,1
25102,2
25108,1
25110,1
25113,1
25189,1
25216,1
25220,2
25225,2
25231,1
25434,1
25442,2
25455,1
25478,1
25578,1
25591,2
25634,1
25637,1
25639,1
25684,1
25692,2
25791,2
25841,2
25861,1
25871,1
25875,1
26009,1
26077,1
26083,1
26124,1
26126,1
26190,2
26337,2
26374,1
26390,1
26414,1
26444,1
26471,1
26491,2
26629,2
26650,1
26661,2
26687,1
26739,2
26810,2
26911,2
26963,1
26976,2
26987,2
27030,2
27077,1
27133,1
27245,2
27265,1
27315,1
27464,1
27496,1
27504,1
27511,2
27593,1
27627,1
27634,2
27673,1
27756,1
27764,2
27780,1
27798,1
27808,1
27877,2
27972,1
27986,2
28004,2
28108,1
28113,1
28121,2
28161,1
28211,1
28263,2
28354,2
28355,2
28366,1
28378,2
28405,2
28485,1
28494,1
28585,2
28611,1
28672,1
28683,1
28705,2
28743,2
28788,2
28793,1
28795,1
28808,1
28825,2
28841,1
28889,1
28980,1
28999,1
29001,1
29053,1
29117,1
29138,2
29238,1
29240,1
29349,2
29351,2
29384,2
29391,1
29407,2
29437,1
29527,2
29611,2
29614,2
29639,2
29645,2
29656,1
29717,1
29739,2
29818,1
29831,2
29844,2
29938,1
30058,1
30109,2
30118,2
30187,1
30260,1
30263,2
30265,1
30307,2
30310,1
30334,2
30364,1
30430,2
30531,2
30547,2
30552,2
30557,1
30562,1
30590,2
30647,1
30651,2
30677,2
30685,2
30709,2
30744,2
30785,1
30805,1
30808,1
30820,1
30859,2
30928,1
31058,1
31098,1
31105,2
31108,2
31200,1
31225,2
31268,2
31275,1
31297,1
31371,1
31393,2
31396,2
31399,2
31419,1
31522,1
31531,1
31573,1
31600,1
31713,2
31742,1
31892,1
31927,2
31999,1
32048,1
32099,2
32107,1
32161,1
32172,1
32328,1
32399,1
32402,1
32420,2
32473,2
32477,1
32489,2
32638,1
32697,1
32698,1
32717,1
32773,1
32798,2
32919,1
32952,1
33111,1
33115,1
33144,2
33207,1
33208,1
33384,2
33425,1
33452,2
33587,2
33602,2
33609,2
33755,2
33764,1
33918,1
33964,2
34001,2
34011,1
34023,1
34038,1
34044,1
34135,1
34160,2
34220,1
34242,1
34244,1
34268,1
34377,2
34480,1
34482,2
34574,2
34589,2
34611,2
34641,2
34645,1
34661,1
34682,1
34752,2
34787,2
34795,1
34802,1
34803,2
34848,1
34898,1
35031,1
35051,1
35054,1
35229,1
35409,2
35445,1
35461,1
35513,1
35605,2
35636,1
35660,2
35729,1
35733,2
35749,1
35753,2
35768,1
35801,1
35846,1
35864,1
35866,2
35873,2
35919,1
35939,1
35950,2
35959,2
35960,2
36019,1
36153,2
36156,1
36167,2
36169,2
36180,1
36257,1
36299,2
36412,1
36479,1
36734,2
36739,2
36750,1
36769,2
36810,1
36844,2
36890,2
36926,1
36976,2
37013,1
37036,1
37051,1
37063,1
37078,1
37163,1
37214,1
37238,1
37260,2
37399,1
37420,2
37427,2
37429,2
37502,2
37529,2
37618,1
37624,1
37648,2
37700,2
37701,1
37748,2
37754,1
37786,2
37828,2
37878,1
38027,2
38097,1
38150,1
38156,1
38215,2
38289,2
38291,1
38334,1
38356,1
38357,1
38364,1
38371,2
38384,1
38443,1
38488,2
38555,1
38684,2
38728,2
38740,1
38835,2
38864,2
38883,2
38953,1
38955,2
39012,2
39032,2
39038,2
39040,2
39070,2
39073,1
39079,2
39086,2
39159,2
39193,2
39194,2
39214,2
39246,1
39255,2
39295,1
39362,1
39363,1
39378,1
39407,1
39410,1
39481,2
39515,1
39516,1
39619,2
39688,2
39710,1
39760,2
39762,2
39763,2
39797,1
39840,2
39843,1
39856,1
39861,1
39873,2
39883,2
39936,2
39998,2
40028,2
40046,1
40057,1
40063,1
40067,1
40201,2
40248,1
40299,1
40370,2
40380,1
40422,2
40471,2
40524,2
40546,1
40574,1
40575,1
40577,1
40629,2
40691,1
40836,2
40907,1
40976,1
40987,2
40989,1
40998,1
41004,1
41022,1
41042,1
41084,1
41138,1
41236,2
41244,1
41343,2
41377,1
41395,2
41426,2
41428,2
41478,1
41499,1
41596,2
41598,2
41654,1
41661,1
41696,2
41704,2
41716,1
41800,2
41835,1
41838,1
41938,1
41994,1
42039,2
42057,1
42100,1
42111,1
42119,1
42312,1
42574,1
42663,1
42747,1
42941,1
42972,1
42985,1
43014,2
43027,2
43037,2
43105,1
43183,1
43249,2
43422,1
43474,2
43478,1
43493,2
43643,2
43655,2
43716,2
43761,1
43797,2
43855,1
43935,1
43958,2
44043,1
44131,1
44149,2
44184,2
44253,2
44256,1
44269,2
44327,1
44486,1
44520,2
44544,1
44605,2
44618,1
44691,2
44697,2
44763,2
44807,1
44811,2
44855,2
45044,2
45184,2
45193,1
45245,2
45367,2
45371,2
45372,2
45415,2
45421,1
45495,1
45558,1
45619,1
45668,1
45678,2
45680,2
45846,1
45875,1
45937,1
45973,2
46023,1
46095,1
46096,1
46103,2
46184,2
46223,2
46226,1
46271,1
46300,2
46338,1
46348,1
46379,1
46474,1
46490,1
46545,2
46603,1
46684,1
46696,2
46940,2
46982,1
46997,2
47012,1
47020,2
47037,1
47053,2
47066,1
47091,2
47104,1
47109,2
47153,2
47262,2
47267,1
47272,1
47335,1
47338,2
47340,2
47563,2
47584,1
47637,1
47672,2
47676,1
47726,2
47840,2
