pattern_id,project_type_id
990044,1
857493,1
7392714,2
899479,1
1300588,2
1353734,1
7340640,1
7430947,1
799982,2
1285536,2
7440429,2
7440661,1
7440440,2
625513,2
1296459,2
7344807,3
7384067,1
1174425,1
124400,1
167528,2
1176966,2
1256976,2
992554,2
1195462,2
1213476,1
1080893,1
7421689,2
676824,2
7397422,2
1031159,1
642204,2
1325992,2
954741,2
677478,3
1262705,2
1213560,1
7354456,1
7410839,1
1281269,2
7414619,2
1343785,1
7287755,1
22490,3
470230,2
482262,2
710289,2
714981,2
7386975,2
7380730,2
7412545,2
189474,1
1193532,1
1206901,1
1342357,1
7345415,1
7375771,1
135110,2
540013,2
787492,2
911054,2
135417,4
18010,2
119653,2
470221,2
699043,2
694869,2
676148,2
829742,2
869589,2
883934,2
986786,2
1003918,2
1117893,2
1248042,2
140150,4
206670,2
353785,2
570411,2
618372,2
635203,2
652812,2
652813,2
693315,2
877600,2
933633,2
933630,2
934141,2
933632,2
933905,2
1064674,2
1104371,2
7299456,2
7306092,2
547178,5
874,1
373571,1
649077,1
798571,1
1310969,1
1326925,1
1334686,1
1365093,1
1352166,1
7320757,1
7370349,1
529861,6
6903,2
19104,2
58699,2
107157,2
156164,2
139885,2
174443,2
419833,2
459402,2
680200,2
808148,2
25684,3
1084538,3
694710,1
1271632,1
987155,7
628109,2
147192,2
626788,5
175288,4
1108033,4
41022,2
113342,2
187577,2
254662,2
225061,2
338348,2
646634,2
735526,2
1367063,2
108649,3
489896,3
20934,1
1176133,1
221547,6
553034,6
634935,6
308361,4
337598,4
570064,4
6720,2
35846,2
38443,2
15377,2
28611,2
37214,2
14228,2
54634,2
52326,2
73723,2
73060,2
77040,2
73763,2
80168,2
135274,2
149344,2
135873,2
148690,2
149098,2
179490,2
209083,2
208997,2
272725,2
272167,2
281589,2
288330,2
291550,2
330952,2
348524,2
363727,2
371480,2
423478,2
442640,2
454875,2
456902,2
465949,2
472485,2
506233,2
524551,2
524572,2
524560,2
524567,2
527841,2
524566,2
535006,2
557570,2
556243,2
563168,2
600946,2
626799,2
665936,2
676595,2
654602,2
692256,2
692874,2
694886,2
776210,2
776200,2
739148,2
869562,2
869583,2
869582,2
869585,2
881030,2
885892,2
869593,2
898603,2
933907,2
926040,2
957157,2
985115,2
962861,2
1002177,2
1068863,2
1007927,2
1112534,2
