tool_id,type,size
1,Needle,US 2½ - 3.0 mm
2,Needle,US 3  - 3.25 mm
3,Needle,US 4  - 3.5 mm
4,Needle,US 5  - 3.75 mm
5,Needle,US 6  - 4.0 mm
6,Needle,US 7  - 4.5 mm
7,Needle,US 8  - 5.0 mm
8,Needle,US 13  - 9.0 mm
9,Needle,US 10  - 6.0 mm
10,Needle,US 10½ - 6.5 mm
11,Needle,US 2  - 2.75 mm
12,Needle,US 9  - 5.5 mm
13,Needle,US 11  - 8.0 mm
14,Needle,3.5 mm (E)
15,Needle,US 15  - 10.0 mm
16,Needle,7.0 mm
17,Needle,US 1½ - 2.5 mm
18,Needle,5.0 mm (H)
19,Needle,5.5 mm (I)
20,Needle,2.5 mm
21,Needle,US 19  - 15.0 mm
22,Needle,US 0 - 2.0 mm
23,Needle,4.5 mm
24,Needle,3.0 mm
25,Needle,2.25 mm (B)
26,Needle,4.0 mm (G)
27,Needle,US 17  - 12.0 mm
28,Needle,3.75 mm (F)
29,Needle,6.0 mm (J)
30,Needle,0.75 mm
31,Needle,6.5 mm (K)
32,Needle,US 1  - 2.25 mm
33,Needle,3.25 mm (D)
34,Needle,US 000 - 1.5 mm
35,Needle,9.0 mm (M/N)
36,Needle,10.0 mm (N/P)
37,Needle,2.75 mm (C)
38,Needle,1.75 mm
39,Needle,US 50  - 25.0 mm
40,Needle,US 35  - 19.0 mm
41,Needle,US 5/0 - 1.0 mm
42,Needle,4.25 mm
43,Needle,8.0 mm (L)
44,Needle,0.6 mm
45,Needle,0.9 mm
46,Needle,1.5 mm
47,Needle,4.75 mm
48,Needle,2.0 mm
49,Needle,7.5 mm
50,Needle,US 4/0 - 1.25 mm
51,Needle,1.8 mm
52,Needle,US 00 - 1.75 mm
53,Needle,1.65 mm
54,Needle,2.1 mm
55,Needle,1.0 mm
56,Needle,1.1 mm
57,Needle,2.35 mm
58,Hook,6.5 mm (K)
59,Hook,5.0 mm (H)
60,Hook,4.0 mm (G)
61,Hook,5.5 mm (I)
62,Hook,3.0 mm
63,Hook,4.5 mm
64,Hook,9.0 mm (M/N)
65,Hook,3.75 mm (F)
66,Hook,2.25 mm (B)
67,Hook,1.8 mm
68,Hook,6.0 mm (J)
69,Hook,1.5 mm
70,Hook,1.9 mm
71,Hook,2.0 mm
72,Hook,2.5 mm
73,Hook,1.0 mm
74,Hook,8.0 mm (L)
75,Hook,3.5 mm (E)
76,Hook,3.25 mm (D)
77,Hook,7.0 mm
78,Hook,4.25 mm (G)
79,Hook,1.1 mm
80,Hook,2.1 mm
81,Hook,2.75 mm (C)
82,Hook,US 8  - 5.0 mm
83,Hook,1.65 mm
84,Hook,1.75 mm
85,Hook,15.0 mm (P/Q)
86,Hook,10.0 mm (N/P)
87,Hook,US 1½ - 2.5 mm
88,Hook,US 4  - 3.5 mm
89,Hook,US 6  - 4.0 mm
90,Hook,1.4 mm
91,Hook,US 9  - 5.5 mm
92,Hook,US 11  - 8.0 mm
93,Hook,US 7  - 4.5 mm
94,Hook,12.0 mm
95,Hook,US 10  - 6.0 mm
96,Hook,11.5 mm (P)
97,Hook,2.35 mm
98,Hook,US 5  - 3.75 mm
99,Hook,US 4/0 - 1.25 mm
100,Hook,US 10½ - 6.5 mm
101,Hook,0.6 mm
102,Hook,19.0 mm (S)
103,Hook,1.3 mm
104,Hook,US 17  - 12.0 mm
105,Hook,0.9 mm
106,Hook,1.25 mm
107,Hook,US 50  - 25.0 mm
108,Hook,US 13  - 9.0 mm
109,Hook,25.0 mm
110,Hook,US 35  - 19.0 mm
111,Hook,US 8/0 - 0.5 mm
112,Hook,US 19  - 15.0 mm
113,Hook,US 3  - 3.25 mm
114,Hook,US 2½ - 3.0 mm
115,Hook,US 0 - 2.0 mm
116,Hook,7.5 mm
117,Hook,15.75 mm (Q)
118,Hook,US 5/0 - 1.0 mm
119,Hook,US 2  - 2.75 mm
120,Hook,1.15 mm
121,Hook,0.75 mm
122,Hook,US 000 - 1.5 mm
123,Hook,0.7 mm
124,knitting-needle,3.25mm
125,knitting-needle,3.5mm
126,knitting-needle,3.75mm
127,knitting-needle,4.0mm
128,knitting-needle,4.5mm
129,knitting-needle,5.0mm
130,crochet-hook,4.0mm
131,Needle,1.9 mm
132,Needle,4.25 mm (G)
133,Hook,0.85 mm
134,Hook,4.25 mm
