yarn_id,yarn_name,brand,weight,fiber
3d27a4f9f0cf6df0313bc26c9ba807789044659a,Studio Sock,Neighborhood Fiber Co.,Fingering (14 wpi),
b0e37e76a3b113804ae312c6765a59f748c0c7be,Organic Rustic Fingering,Neighborhood Fiber Co.,Fingering (14 wpi),
76c526a73d9406be8a0632a7e69a9f321d5f3165,Tough Sock,The Uncommon Thread,Fingering (14 wpi),
d39b51614337b18e673ed37ad16f138b32249390,Merino 4ply,Weku Yarn,Fingering (14 wpi),
f02df4c8ebc5f2ced6ad7827eb8b3f91f073d1e3,Arwetta,Filcolana,DK (11 wpi),
3e3070a8896abfccfe1aabc8530d4fffaef182d5,Silk Mohair,Isager Yarn,DK (11 wpi),
66907630224a934838f396ba02e4b555ab65763a,Tynn Silk Mohair,Sandnes Garn,DK (11 wpi),
d82b0f56a832e03b932cda91f39fda68568ec3ae,Brushed Lace,Von Broich,DK (11 wpi),
bba486acc1129988ab97b2622ea04e39759a791e,PetiteKnit Sunday,Sandnes Garn,DK (11 wpi),
95968dfa2a4baafc812fdf412f1885be349166f7,PetiteKnit Double Sunday,Sandnes Garn,DK (11 wpi),
00fa5284d75f1955aa411b819093438553d44dd7,Double Sunday,Sandnes Garn,DK (11 wpi),
d297e0dd2d733a4e58e73df037ab40e26b83b4c0,Alpakka Ull,Sandnes Garn,Aran (8 wpi),
2de66f29dfa5be5e70985d2ec1bfc9ab372365bc,Snefnug,CaMaRose,Aran (8 wpi),
561076eefe97122fc0cd23d876ea4742eba63ac6,Isager Soft,Isager Yarn,Aran (8 wpi),
b3ee62ed1295b3dbac81696cb556434d3a30e8a6,Eco Cashmere Vintage,Gepard Garn,Aran (8 wpi),
a41158f861adf0d1c24dc1cda31d93af3181a8c6,Cashmere Charis,Pascuali,Aran (8 wpi),
6903f333b22848bcc6a442123442833fc15f1187,Cashmere Merino Bloom,Purl Soho,DK (11 wpi),
5fff4c4bbeea5b3990d83d79e8eb40f5006c236f,Peer Gynt,Sandnes Garn,DK (11 wpi),
d7290338252f72c865dce4d86c161bcd541c0443,Peruvian,Filcolana,DK (11 wpi),
65e26f35536e184795aa4ed7d08b247951a36980,Cashmere Classic,Lang Yarns,DK (11 wpi),
e39d1849737967aaea0d3b3ac14f42c1712ef54c,Cashmere Worsted (Organic),Pascuali,DK (11 wpi),
b56b8f7bbed7fb468f9e2fe4720113c76cabd05d,Jensen Yarn,Isager Yarn,DK (11 wpi),
25ac7669488f87c05ab0b2b7cbe1a69597dd6de4,Dyed in the Wool,Spincycle Yarns,Sport (12 wpi),
cdfd797fd8715529c9849ff2bd37930aa56da81e,Soft Sport,Moondrake Co.,Sport (12 wpi),
10346ebed4154eb1a9487edac62291761988f06f,Shelter,Brooklyn Tweed,Worsted (9 wpi),
3644fbab24dc3cb0c513b63e1b53729303b1b5fb,Loft,Brooklyn Tweed,Worsted (9 wpi),
3979dac1ddd9c4b295382be9462fa177c1197f2b,Dream State,Spincycle Yarns,Worsted (9 wpi),
6f0b81e8c9ec4f6ec1d6050d29da8d44891f7909,Pishkun DK,The Farmer's Daughter Fibers,Worsted (9 wpi),
b51b43cd8631f39828e79cf98365f14e250de1c9,Pernilla,Filcolana,DK (11 wpi),
26cb8f9af4c454509a0018ed06db4bf0e9bdf9c6,Ultra Alpaca,Berroco,Worsted (9 wpi),
dae17ba5b87531e5b071e85e53fd895e0cbfcbfa,Havblik,Tante Grøn,DK (11 wpi),
444df3c636904c12a60e4437e099ce328468b78d,Cashmere Aran,Sweet Fiber Yarns,Aran (8 wpi),
3f53c9587a5732151b06d1f13f9f07b2d4608f9f,La Rinconada,WoolDreamers,DK (11 wpi),
afb3a9de87d4c38b9293adb9206d71f74077e5de,Morning,Purl Soho,DK (11 wpi),
b79831d7ce40dfe70e0f6789269fe3e8e51aa2f4,Wool of the Andes Tweed,Knit Picks,Worsted (9 wpi),
9768bf978e79b0a18cdfc0fb0be938f670bb6671,Recollect Sport,The Farmer's Daughter Fibers,Sport (12 wpi),
124163711cbc53b1c592e7d1983f491e35d6905e,Socks that Rock Lightweight,Blue Moon Fiber Arts,Fingering (14 wpi),
2465bd860ca015e88ea0d5c18ecc6f8c1e7b3fbc,Jitterbug Socks,Colinette,Fingering (14 wpi),
1a4208cd47a8f451c79162ee5ced2d53ff2af156,Tosh Sock,madelinetosh,Fingering (14 wpi),
2f3e918d44672d7b25188b02dbdf8f7a43ee3aa6,Sock,Malabrigo Yarn,Fingering (14 wpi),
2c78d15459fd1926a0f025ad6d632b1a50532938,Hand Paint Sock ,Misti Alpaca,Fingering (14 wpi),
41b805d6119117b5e4b8cafa08f727021ef44256,Zauberball® Crazy,Schoppel-Wolle,Fingering (14 wpi),
0e0c113712be9fa1e6368f64c2a38d5142978c40,Bulky,Blue Sky Fibers,Super Bulky (5-6 wpi),
b46ea92155be9ab32f94c98c16a6be87dd9a3c52,Kris,Lang Yarns,Bulky (7 wpi),
7d0e6de754b7583d30e04df9657f8a4a480c6abe,Yak,Lang Yarns,Aran (8 wpi),
33f02f3ae255c8c32e68a97a8c0d8fcd1898a92f,Colorama O'Go ,Caron,Bulky (7 wpi),
7ea3d9eca6951801503910d7c41ef7f124682770,Baby Yak Medium ,mYak,Worsted (9 wpi),
12e7e401c569466fd67285992d90bd7e3ed72e62,Merino Worsted,The Wandering Flock,Worsted (9 wpi),
742f1d5b56220aa103dcf9ecde08f4efccc6407b,Corrie Worsted,La Bien Aimée,Worsted (9 wpi),
c16e2f676f88cbf2472cd6b6263be7300fb17215,Corrie Confetti,La Bien Aimée,Worsted (9 wpi),
db412821a3f505ad66dd999cf5f4a4199111c290,Confetti,La Bien Aimée,Worsted (9 wpi),
f1aedd8b3edaf59e09520eee69807ba7472e6009,Paillettes,Lang Yarns,Bulky (7 wpi),
d001074eb59e31f9c7b1f1699f8c73e9118c56cf,MYSTERY,WOOLADDICTS by LANGYARNS,Bulky (7 wpi),
023feaa831568c24015bb3d4ce30d11ae6ae83c6,Wool-Ease Chunky,Lion Brand,Bulky (7 wpi),
b10e3303650f2d43b44ab99668cddfd163783a32,Sport,Baby Cat Yarns,Sport (12 wpi),
9e118fadbdeeb7bcba38a2c5212061ed2c95cc96,Simply Soft Solids,Caron,Aran (8 wpi),
ff050d0997762a9ff00d73e38a077d17d6f36edf,Pound of Love,Lion Brand,Aran (8 wpi),
4115fca6fcdec6ab1802d13ec665022690da0c84,Sueño,HiKoo® by skacel,DK (11 wpi),
01f7e98cd5d1f1a717f525a199b08967ea30a744,Basix Worsted,Premier Yarns,Aran (8 wpi),
44d4746fd84d0ae62bb805ef9def082044c2dc03,Premium Alpaca Soft,Schachenmayr Regia,Sport (12 wpi),
fb4446f1141ea797f28f1d122bf7395250f11173,Birdie,Dimond Laine,Sport (12 wpi),
3a794b79d48bdfb89ebdb294b97c3c7c0e4a521d,Entropy DK,Feederbrook Farm,DK (11 wpi),
a1e9566f60c7b915d3ac35302b5cccb72d6a3e60,Fawning,Universal Yarn,DK (11 wpi),
dda22af67f7f6557ea0784b9b87aa879641f9326,Wool Ease Thick & Quick,Lion Brand,Super Bulky (5-6 wpi),
f39fa796f01c9d3a18a4a33ecacefc103289958b,Line Weight,Purl Soho,Light Fingering,
a561a509551ccb565baea15ec36d3dcd090ee605,Angora 70,Rellana Garne,DK (11 wpi),
37b5f478d314bcc4e502f50b1128e60957a62cd1,Schiehallion,KDD & Co (Kate Davies Designs),DK (11 wpi),
c1df2713b2b26d1acf46f1be76cc36ceafced21d,Biddleville DK,Queen City Yarn,DK (11 wpi),
a020928c25677255b384d7a3e24592cea57dc750,Merino Extrafine Uni 120,Schachenmayr,DK (11 wpi),
1ebdf08be869a3a423baff3294a554d6c3f52bf7,Worsted,Malabrigo Yarn,Worsted (9 wpi),
189b963b9765dc2f4ebc107e58cdf68fa29947f1,Vintage® Chunky,Berroco,Bulky (7 wpi),
7612b217f1466976c65a257e4732b86ac9ac5670,Pure 100% Merino Superwash,Rohrspatz & Wollmeise,Fingering (14 wpi),
784357b7a3a892ca71e1d4cde85431fd280849fb,Rastita,Malabrigo Yarn,Fingering (14 wpi),
e2790f5251098f684714f03c44f7e52c94156c42,Arroyo,Malabrigo Yarn,Fingering (14 wpi),
1232758779e2632e6bb4f49e7c1c80ce0701bf34,Merino 300,Bunte Wolle,Fingering (14 wpi),
c7fd9816e86c3da0a15da724344f7656f55196f4,Off The Hook,Lion Brand,Jumbo (0-4 wpi),
9112610998852fddc9229ebdaff379743faf4857,Purelife Organic Cotton DK,Rowan,DK (11 wpi),
